time(s),x,y
8.53,507,706
8.57,531,710
8.6,557,714
8.63,583,718
8.67,609,721
8.7,636,726
8.73,662,730
8.77,689,734
8.8,716,739
8.83,743,743
8.87,771,747
8.9,797,752
8.93,825,757
8.97,852,761
9.0,880,766
9.03,909,771
9.07,937,776
9.1,965,781
9.13,994,785
9.17,1023,790
9.2,1052,796
9.23,1081,801
9.27,1110,806
9.3,1140,812
9.33,1171,817
9.37,1199,823
9.4,1230,828
9.43,1260,834
9.47,1291,840
9.5,1322,846
9.53,1353,851
9.57,1384,858
9.6,1416,863
9.63,1449,869
9.67,1480,876
9.7,1513,882
9.73,1544,889
9.77,1577,896
9.8,1610,903
9.83,1643,909
9.87,1676,915
9.9,1710,922
9.93,1747,928
