time(s),x,y
8.67,504,726
8.7,521,730
8.73,549,735
8.77,577,739
8.8,604,744
8.83,632,748
8.87,660,753
8.9,688,758
8.93,718,763
8.97,746,767
9.0,775,773
9.03,804,777
9.07,834,783
9.1,862,788
9.13,893,793
9.17,923,799
9.2,953,804
9.23,983,810
9.27,1014,815
9.3,1045,821
9.33,1076,826
9.37,1107,832
9.4,1139,838
9.43,1170,844
9.47,1203,851
9.5,1234,857
9.53,1267,863
9.57,1301,869
9.6,1333,876
9.63,1366,883
9.67,1400,889
9.7,1433,896
9.73,1468,903
9.77,1502,910
9.8,1537,917
9.83,1571,924
9.87,1606,931
9.9,1642,939
9.93,1677,946
9.97,1712,954
10.0,1749,961
10.03,1783,969
10.07,1823,975
10.1,1860,984
10.13,1898,992
10.17,1934,1001
10.2,1973,1009
10.23,2012,1017
10.27,2051,1025
10.3,2090,1035
10.33,2129,1043
10.37,2169,1052
10.4,2211,1062
10.43,2250,1072
11.4,2294,1151
11.53,2295,1151
11.73,2296,1151
