time(s),x,y
8.7,506,735
8.73,532,740
8.77,560,744
8.8,587,750
8.83,615,754
8.87,644,758
8.9,673,764
8.93,701,769
8.97,730,774
9.0,758,779
9.03,788,785
9.07,816,789
9.1,847,796
9.13,876,801
9.17,906,806
9.2,936,812
9.23,966,818
9.27,997,823
9.3,1028,829
9.33,1059,835
9.37,1090,841
9.4,1121,847
9.43,1153,854
9.47,1185,860
9.5,1217,866
9.53,1249,873
9.57,1282,879
9.6,1314,886
9.63,1347,893
9.67,1381,899
9.7,1414,907
9.73,1449,913
9.77,1482,921
9.8,1516,929
9.83,1550,936
9.87,1585,943
9.9,1620,951
9.93,1655,960
9.97,1691,966
10.0,1727,975
10.03,1762,982
10.07,1799,990
10.1,1830,998
10.13,1873,1006
10.17,1910,1015
10.2,1948,1023
10.23,1986,1032
10.27,2024,1041
10.7,2046,830
