time(s),x,y
8.7,505,732
8.73,530,737
8.77,556,743
8.8,583,747
8.83,610,752
8.87,637,758
8.9,664,763
8.93,691,768
8.97,718,774
9.0,746,779
9.03,774,785
9.07,802,790
9.1,830,797
9.13,859,802
9.17,887,808
9.2,915,814
9.23,945,820
9.27,974,826
9.3,1003,832
9.33,1032,839
9.37,1063,845
9.4,1092,850
9.43,1122,857
9.47,1153,864
9.5,1184,871
9.53,1214,878
9.57,1245,884
9.6,1277,891
9.63,1308,899
9.67,1340,905
9.7,1372,913
9.73,1403,920
9.77,1436,927
9.8,1470,934
9.83,1502,943
9.87,1535,949
9.9,1568,959
9.93,1601,967
9.97,1634,975
10.0,1669,982
10.03,1704,991
10.07,1738,1000
10.1,1773,1008
10.13,1807,1016
10.17,1844,1025
10.2,1879,1033
10.23,1918,1036
10.27,1950,1050
10.3,1988,1060
10.33,2024,1070
