time(s),x,y
8.9,512,743
8.93,541,751
8.97,570,757
9.0,598,763
9.03,628,770
9.07,655,777
9.1,685,783
9.13,714,791
9.17,744,796
9.2,773,803
9.23,803,811
9.27,833,819
9.3,862,825
9.33,893,833
9.37,924,839
9.4,955,847
9.43,985,855
9.47,1016,863
9.5,1048,870
9.53,1079,878
9.57,1111,886
9.6,1142,893
9.63,1174,902
9.67,1207,910
9.7,1240,917
9.73,1272,926
9.77,1305,934
9.8,1338,944
9.83,1371,951
9.87,1405,960
9.9,1439,969
9.93,1472,978
9.97,1507,988
10.0,1540,997
10.03,1575,1006
10.07,1611,1015
10.1,1646,1024
10.13,1681,1035
10.17,1717,1043
10.2,1753,1054
10.23,1788,1064
10.27,1825,1074
10.3,1861,1083
10.33,1899,1093
10.37,1935,1103
10.4,1974,1114
10.43,2011,1125
