time(s),x,y
8.7,503,738
8.73,522,742
8.77,549,746
8.8,577,751
8.83,604,755
8.87,631,760
8.9,659,765
8.93,686,771
8.97,715,775
9.0,743,781
9.03,771,786
9.07,800,791
9.1,829,797
9.13,857,802
9.17,887,808
9.2,916,813
9.23,946,819
9.27,975,825
9.3,1005,830
9.33,1035,836
9.37,1065,843
9.4,1097,848
9.43,1128,854
9.47,1159,861
9.5,1190,866
9.53,1221,874
9.57,1254,879
9.6,1285,887
9.63,1318,893
9.67,1350,900
9.7,1383,906
9.73,1416,914
9.77,1449,921
9.8,1482,929
9.83,1516,935
9.87,1550,943
9.9,1584,949
9.93,1619,958
9.97,1653,965
10.0,1689,973
10.03,1724,981
10.07,1759,989
10.1,1795,996
10.13,1832,1004
