time(s),x,y
8.8,501,745
8.83,522,749
8.87,551,755
8.9,579,760
8.93,608,765
8.97,636,771
9.0,665,776
9.03,694,782
9.07,723,788
9.1,753,793
9.13,783,800
9.17,812,806
9.2,843,812
9.23,872,818
9.27,903,825
9.3,934,830
9.33,964,837
9.37,996,844
9.4,1026,850
9.43,1057,857
9.47,1090,864
9.5,1121,870
9.53,1153,877
9.57,1186,885
9.6,1218,891
9.63,1250,898
9.67,1283,906
9.7,1317,913
9.73,1349,922
9.77,1384,929
9.8,1417,937
9.83,1452,943
9.87,1486,952
9.9,1520,960
9.93,1555,968
9.97,1591,975
10.0,1625,985
10.03,1660,993
10.07,1696,1001
10.1,1733,1010
10.13,1769,1018
10.17,1805,1028
10.2,1842,1037
10.23,1880,1045
10.27,1916,1055
10.3,1954,1062
10.33,1993,1073
10.37,2031,1081
