time(s),x,y
8.77,503,741
8.8,524,745
8.83,552,751
8.87,580,757
8.9,608,762
8.93,636,767
8.97,664,774
9.0,693,779
9.03,721,786
9.07,750,792
9.1,780,797
9.13,809,803
9.17,838,809
9.2,868,816
9.23,898,822
9.27,928,829
9.3,958,835
9.33,989,842
9.37,1019,848
9.4,1050,856
9.43,1081,862
9.47,1112,869
9.5,1144,876
9.53,1175,884
9.57,1207,891
9.6,1240,898
9.63,1272,905
9.67,1304,913
9.7,1337,920
9.73,1370,929
9.77,1404,936
9.8,1437,944
9.83,1471,953
9.87,1505,961
9.9,1539,968
9.93,1574,976
9.97,1608,984
10.0,1643,993
10.03,1678,1002
10.07,1714,1010
10.1,1750,1019
10.13,1786,1029
10.17,1821,1038
10.2,1859,1045
10.23,1896,1054
10.27,1929,1064
10.3,1970,1073
10.33,2008,1083
10.37,2042,1092
