time(s),x,y
8.77,516,739
8.8,542,745
8.83,568,750
8.87,594,755
8.9,620,762
8.93,647,768
8.97,674,773
9.0,701,779
9.03,728,786
9.07,755,791
9.1,784,797
9.13,810,803
9.17,838,810
9.2,866,816
9.23,894,822
9.27,922,830
9.3,951,836
9.33,980,843
9.37,1009,849
9.4,1038,856
9.43,1067,864
9.47,1097,870
9.5,1127,878
9.53,1156,885
9.57,1187,892
9.6,1216,901
9.63,1247,908
9.67,1277,916
9.7,1308,924
9.73,1340,931
9.77,1371,940
9.8,1402,949
9.83,1433,956
9.87,1466,964
9.9,1499,973
9.93,1530,982
9.97,1563,990
10.0,1596,998
10.03,1629,1008
10.07,1662,1017
10.1,1696,1025
10.13,1730,1035
10.17,1763,1044
10.2,1797,1055
10.23,1832,1065
10.27,1867,1073
10.3,1901,1082
10.33,1937,1093
10.37,1973,1102
10.4,2006,1113
10.43,2043,1123
