time(s),x,y
8.63,503,730
8.67,526,734
8.7,552,738
8.73,579,742
8.77,606,746
8.8,634,750
8.83,660,755
8.87,689,758
8.9,717,763
8.93,745,767
8.97,772,772
9.0,802,777
9.03,830,780
9.07,859,785
9.1,887,790
9.13,917,796
9.17,947,801
9.2,976,805
9.23,1006,810
9.27,1036,815
9.3,1067,820
9.33,1097,826
9.37,1128,830
9.4,1159,836
9.43,1191,842
9.47,1222,847
9.5,1254,853
9.53,1286,859
9.57,1318,865
9.6,1351,870
9.63,1384,876
9.67,1416,884
9.7,1449,889
9.73,1484,895
9.77,1517,902
9.8,1551,908
9.83,1586,916
9.87,1621,922
9.9,1655,928
9.93,1689,935
9.97,1725,942
