time(s),x,y
8.67,504,729
8.7,523,732
8.73,552,737
8.77,579,741
8.8,608,746
8.83,636,750
8.87,664,754
8.9,693,759
8.93,722,764
8.97,751,769
9.0,781,774
9.03,810,778
9.07,840,783
9.1,869,789
9.13,900,794
9.17,930,799
9.2,960,804
9.23,991,809
9.27,1022,815
9.3,1053,821
9.33,1084,826
9.37,1116,832
9.4,1148,838
9.43,1179,844
9.47,1212,850
9.5,1244,856
9.53,1277,862
9.57,1309,868
9.6,1342,874
9.63,1376,880
9.67,1410,887
9.7,1443,894
9.73,1478,900
9.77,1512,907
9.8,1546,914
9.83,1581,921
9.87,1616,928
9.9,1651,935
9.93,1687,942
9.97,1722,949
10.0,1758,956
10.03,1800,961
10.07,1832,971
10.1,1869,979
10.13,1906,986
10.17,1944,994
10.2,1982,1003
10.23,2021,1011
10.27,2059,1019
10.3,2097,1027
10.33,2137,1036
10.37,2176,1044
10.4,2216,1054
10.43,2256,1063
10.47,2290,1072
