time(s),x,y
8.7,512,733
8.73,539,738
8.77,566,743
8.8,592,747
8.83,619,753
8.87,646,758
8.9,674,762
8.93,701,767
8.97,729,773
9.0,756,778
9.03,784,783
9.07,813,788
9.1,841,793
9.13,870,799
9.17,898,805
9.2,927,810
9.23,956,816
9.27,985,822
9.3,1015,827
9.33,1045,833
9.37,1075,839
9.4,1105,845
9.43,1135,851
9.47,1166,858
9.5,1197,863
9.53,1228,870
9.57,1259,876
9.6,1291,883
9.63,1322,890
9.67,1355,896
9.7,1386,903
9.73,1420,909
9.77,1452,917
9.8,1485,924
9.83,1518,932
9.87,1552,939
9.9,1584,947
9.93,1619,954
9.97,1654,961
10.0,1688,969
10.03,1722,976
10.07,1757,985
10.1,1793,991
10.13,1827,1001
10.17,1867,1006
10.2,1900,1015
10.23,1937,1023
10.27,1973,1033
10.3,2010,1042
10.33,2043,1050
