time(s),x,y
8.7,504,735
8.73,525,738
8.77,553,743
8.8,581,748
8.83,608,753
8.87,636,757
8.9,664,763
8.93,693,767
8.97,722,772
9.0,750,777
9.03,779,783
9.07,809,788
9.1,838,793
9.13,867,798
9.17,897,803
9.2,927,809
9.23,957,815
9.27,987,821
9.3,1019,826
9.33,1049,832
9.37,1081,837
9.4,1111,844
9.43,1143,851
9.47,1175,856
9.5,1207,862
9.53,1239,868
9.57,1272,875
9.6,1304,882
9.63,1337,888
9.67,1370,895
9.7,1403,901
9.73,1437,909
9.77,1471,916
9.8,1505,923
9.83,1539,929
9.87,1574,937
9.9,1609,944
9.93,1644,951
9.97,1679,959
10.0,1715,967
10.03,1751,975
10.07,1787,981
