time(s),x,y
8.73,512,741
8.77,540,746
8.8,567,751
8.83,595,755
8.87,623,761
8.9,651,766
8.93,680,771
8.97,708,776
9.0,736,783
9.03,764,787
9.07,794,793
9.1,823,799
9.13,853,804
9.17,881,811
9.2,911,816
9.23,941,822
9.27,971,828
9.3,1001,833
9.33,1031,841
9.37,1062,846
9.4,1093,853
9.43,1124,860
9.47,1155,866
9.5,1187,871
9.53,1218,880
9.57,1251,886
9.6,1283,893
9.63,1315,900
9.67,1347,908
9.7,1380,915
9.73,1413,922
9.77,1446,930
9.8,1480,937
9.83,1514,944
9.87,1547,953
9.9,1582,960
9.93,1615,969
9.97,1650,977
10.0,1685,985
10.03,1720,994
10.07,1756,1002
10.1,1792,1010
10.13,1828,1018
10.17,1863,1028
10.7,1895,1005
