time(s),x,y
8.73,510,737
8.77,537,742
8.8,565,746
8.83,591,752
8.87,619,757
8.9,646,762
8.93,675,767
8.97,702,772
9.0,731,777
9.03,758,783
9.07,787,788
9.1,816,793
9.13,845,799
9.17,874,804
9.2,903,810
9.23,932,817
9.27,962,823
9.3,992,829
9.33,1022,834
9.37,1052,840
9.4,1082,847
9.43,1113,853
9.47,1142,860
9.5,1175,866
9.53,1205,873
9.57,1236,879
9.6,1268,885
9.63,1300,893
9.67,1332,900
9.7,1365,906
9.73,1397,914
9.77,1430,921
9.8,1462,928
9.83,1496,936
9.87,1529,943
9.9,1563,950
9.93,1597,958
9.97,1630,966
10.0,1665,974
10.03,1700,982
10.07,1734,991
10.1,1769,999
10.13,1805,1006
10.17,1839,1016
