time(s),x,y
8.63,503,725
8.67,527,728
8.7,554,733
8.73,580,738
8.77,607,743
8.8,634,747
8.83,661,752
8.87,689,756
8.9,716,762
8.93,744,766
8.97,771,772
9.0,800,776
9.03,828,781
9.07,856,787
9.1,885,793
9.13,913,798
9.17,942,804
9.2,971,809
9.23,1001,814
9.27,1030,820
9.3,1060,826
9.33,1089,832
9.37,1119,837
9.4,1150,844
9.43,1180,850
9.47,1210,856
9.5,1241,863
9.53,1272,869
9.57,1304,875
9.6,1335,882
9.63,1366,888
9.67,1399,896
9.7,1430,902
9.73,1463,908
9.77,1495,917
9.8,1527,925
9.83,1560,931
9.87,1594,939
9.9,1627,946
9.93,1661,953
9.97,1695,960
10.0,1728,968
10.03,1763,976
10.07,1798,984
