time(s),x,y
8.57,508,720
8.6,533,724
8.63,560,728
8.67,587,731
8.7,614,735
8.73,642,739
8.77,669,743
8.8,697,748
8.83,725,751
8.87,752,756
8.9,781,759
8.93,809,763
8.97,838,768
9.0,867,772
9.03,896,777
9.07,925,782
9.1,955,786
9.13,984,791
9.17,1014,796
9.2,1043,800
9.23,1074,805
9.27,1104,810
9.3,1135,815
9.33,1166,820
9.37,1197,826
9.4,1228,831
9.43,1260,836
9.47,1292,842
9.5,1324,847
9.53,1355,853
9.57,1388,858
9.6,1421,864
9.63,1453,870
9.67,1487,876
9.7,1520,883
9.73,1553,888
9.77,1587,894
9.8,1621,901
9.83,1656,907
9.87,1690,914
