time(s),x,y
8.6,503,718
8.63,521,722
8.67,547,726
8.7,573,731
8.73,600,735
8.77,627,739
8.8,654,744
8.83,681,748
8.87,707,753
8.9,735,758
8.93,762,763
8.97,790,769
9.0,818,773
9.03,847,778
9.07,874,784
9.1,903,788
9.13,932,794
9.17,960,800
9.2,989,805
9.23,1019,811
9.27,1048,816
9.3,1078,821
9.33,1107,828
9.37,1138,833
9.4,1168,840
9.43,1199,846
9.47,1229,851
9.5,1260,858
9.53,1292,865
9.57,1323,870
9.6,1355,877
9.63,1387,884
9.67,1419,891
9.7,1451,898
9.73,1483,904
9.77,1516,910
9.8,1550,917
9.83,1583,925
9.87,1617,932
9.9,1650,938
9.93,1685,947
9.97,1719,954
10.0,1754,961
