time(s),x,y
8.83,513,740
8.87,542,746
8.9,570,752
8.93,598,758
8.97,626,765
9.0,656,770
9.03,683,777
9.07,713,783
9.1,741,790
9.13,771,795
9.17,800,803
9.2,830,809
9.23,859,816
9.27,890,823
9.3,920,830
9.33,950,836
9.37,980,844
9.4,1011,851
9.43,1042,858
9.47,1073,866
9.5,1105,873
9.53,1137,880
9.57,1168,888
9.6,1200,895
9.63,1233,903
9.67,1264,911
9.7,1297,920
9.73,1331,927
9.77,1364,935
9.8,1397,943
9.83,1431,952
9.87,1464,959
9.9,1499,968
9.93,1533,978
9.97,1568,987
10.0,1602,995
10.03,1637,1005
10.07,1672,1014
10.1,1708,1022
10.13,1745,1031
10.17,1780,1041
10.2,1817,1051
10.23,1853,1061
10.27,1891,1070
10.3,1927,1079
10.33,1964,1088
10.37,2005,1098
10.4,2040,1109
