time(s),x,y
8.6,509,716
8.63,534,721
8.67,560,726
8.7,586,730
8.73,612,735
8.77,637,740
8.8,665,744
8.83,691,748
8.87,718,754
8.9,744,759
8.93,772,763
8.97,799,769
9.0,827,774
9.03,854,779
9.07,882,785
9.1,910,791
9.13,938,796
9.17,967,800
9.2,995,806
9.23,1024,813
9.27,1053,818
9.3,1082,824
9.33,1111,830
9.37,1140,836
9.4,1170,841
9.43,1200,848
9.47,1230,854
9.5,1261,860
9.53,1292,866
9.57,1322,873
9.6,1353,880
9.63,1384,886
9.67,1416,894
9.7,1447,900
9.73,1479,907
9.77,1512,914
9.8,1544,921
9.83,1576,929
9.87,1609,935
9.9,1642,943
9.93,1676,950
9.97,1709,958
10.0,1742,966
10.03,1777,973
