time(s),x,y
8.77,503,746
8.8,526,750
8.83,553,756
8.87,580,761
8.9,608,766
8.93,636,773
8.97,663,778
9.0,692,783
9.03,720,789
9.07,748,795
9.1,777,801
9.13,806,806
9.17,836,812
9.2,865,819
9.23,894,825
9.27,924,831
9.3,954,837
9.33,984,844
9.37,1014,850
9.4,1044,856
9.43,1075,864
9.47,1107,870
9.5,1138,877
9.53,1169,884
9.57,1200,891
9.6,1232,899
9.63,1264,906
9.67,1296,914
9.7,1329,920
9.73,1361,929
9.77,1394,935
9.8,1427,945
9.83,1460,952
9.87,1494,961
9.9,1528,968
9.93,1562,976
9.97,1597,986
10.0,1631,993
10.03,1666,1002
10.07,1701,1012
10.1,1738,1019
10.13,1772,1030
10.17,1808,1038
10.2,1844,1046
10.23,1881,1056
10.27,1918,1064
10.7,1945,1107
