time(s),x,y
8.8,520,743
8.83,547,749
8.87,575,754
8.9,602,760
8.93,631,765
8.97,659,771
9.0,686,777
9.03,715,782
9.07,743,789
9.1,773,794
9.13,800,801
9.17,830,807
9.2,859,813
9.23,889,820
9.27,919,825
9.3,948,833
9.33,979,838
9.37,1009,845
9.4,1040,852
9.43,1070,858
9.47,1101,866
9.5,1132,872
9.53,1164,880
9.57,1195,887
9.6,1227,894
9.63,1259,901
9.67,1291,909
9.7,1323,917
9.73,1357,923
9.77,1389,932
9.8,1422,940
9.83,1457,946
9.87,1489,955
9.9,1524,963
9.93,1557,971
9.97,1593,978
10.0,1627,986
10.03,1662,995
10.07,1697,1004
10.1,1733,1012
10.13,1768,1021
10.17,1803,1031
10.2,1840,1039
10.23,1878,1048
10.27,1914,1057
10.3,1949,1078
10.33,1990,1074
10.37,2027,1085
