time(s),x,y
8.73,509,731
8.77,534,736
8.8,561,741
8.83,587,747
8.87,614,752
8.9,641,758
8.93,668,763
8.97,697,768
9.0,724,774
9.03,751,779
9.07,779,785
9.1,807,791
9.13,836,797
9.17,864,802
9.2,893,808
9.23,922,814
9.27,951,821
9.3,980,827
9.33,1009,833
9.37,1039,839
9.4,1070,845
9.43,1099,853
9.47,1130,860
9.5,1160,866
9.53,1191,872
9.57,1221,880
9.6,1253,886
9.63,1284,893
9.67,1315,900
9.7,1347,908
9.73,1380,914
9.77,1412,923
9.8,1444,930
9.83,1477,938
9.87,1510,945
9.9,1544,952
9.93,1577,961
9.97,1611,969
10.0,1645,977
10.03,1679,985
10.07,1713,994
10.1,1749,1002
10.13,1783,1009
10.17,1819,1018
10.2,1854,1026
10.23,1887,1036
10.27,1926,1045
10.3,1963,1053
10.33,2000,1062
10.37,2037,1073
