time(s),x,y
8.53,1893,752
8.57,1877,756
8.6,1854,761
8.63,1833,767
8.67,1810,771
8.7,1788,777
8.73,1765,782
8.77,1742,787
8.8,1719,793
8.83,1696,799
8.87,1672,805
8.9,1649,810
8.93,1625,816
8.97,1601,822
9.0,1576,828
9.03,1552,835
9.07,1527,841
9.1,1502,847
9.13,1477,853
9.17,1451,860
9.2,1426,866
9.23,1400,873
9.27,1374,880
9.3,1348,887
9.33,1322,893
9.37,1295,901
9.4,1268,908
9.43,1241,915
9.47,1213,922
9.5,1185,930
9.53,1158,937
9.57,1130,945
9.6,1101,953
9.63,1073,961
9.67,1044,969
9.7,1015,977
9.73,985,985
9.77,956,993
9.8,926,1002
9.83,896,1010
9.87,865,1019
9.9,835,1028
9.93,804,1036
9.97,772,1046
10.0,741,1054
10.03,709,1064
10.07,677,1073
10.1,645,1083
10.13,612,1092
10.17,578,1101
10.2,546,1112
10.23,512,1122
10.27,478,1132
10.3,443,1142
10.33,409,1151
10.37,374,1162
10.4,342,1180
10.43,306,1184
