time(s),x,y
8.6,1891,758
8.63,1871,763
8.67,1848,768
8.7,1825,774
8.73,1802,779
8.77,1779,785
8.8,1755,790
8.83,1731,796
8.87,1707,801
8.9,1683,807
8.93,1658,813
8.97,1633,819
9.0,1609,825
9.03,1583,831
9.07,1558,837
9.1,1532,843
9.13,1506,850
9.17,1480,856
9.2,1454,863
9.23,1427,869
9.27,1400,876
9.3,1373,882
9.33,1345,890
9.37,1318,897
9.4,1290,903
9.43,1262,911
9.47,1233,918
9.5,1204,925
9.53,1175,932
9.57,1146,940
9.6,1116,947
9.63,1086,955
9.67,1056,963
9.7,1026,971
9.73,995,979
9.77,964,987
9.8,933,995
9.83,901,1004
9.87,869,1012
9.9,836,1020
9.93,804,1029
9.97,771,1038
10.0,738,1046
10.03,704,1055
10.07,670,1065
10.1,636,1074
10.13,601,1083
10.17,567,1092
10.2,531,1102
10.23,496,1111
10.27,459,1120
10.3,424,1130
10.33,390,1151
10.37,349,1150
10.4,312,1160
