time(s),x,y
8.57,1893,757
8.6,1877,761
8.63,1854,766
8.67,1831,771
8.7,1807,776
8.73,1784,781
8.77,1759,786
8.8,1736,792
8.83,1711,797
8.87,1686,802
8.9,1662,808
8.93,1637,813
8.97,1612,819
9.0,1586,824
9.03,1560,830
9.07,1534,836
9.1,1508,842
9.13,1482,848
9.17,1455,854
9.2,1428,860
9.23,1401,866
9.27,1374,872
9.3,1346,879
9.33,1318,885
9.37,1290,891
9.4,1262,898
9.43,1233,905
9.47,1204,911
9.5,1175,918
9.53,1146,925
9.57,1116,933
9.6,1085,940
9.63,1055,947
9.67,1025,954
9.7,995,962
9.73,963,969
9.77,932,977
9.8,900,985
9.83,868,993
9.87,835,1001
9.9,803,1009
9.93,770,1017
9.97,737,1026
10.0,703,1034
10.03,670,1043
10.07,635,1051
10.1,601,1060
10.13,566,1068
10.17,531,1076
10.2,496,1085
10.8,479,1148
10.83,516,1146
10.87,554,1144
10.9,590,1141
10.93,626,1140
