time(s),x,y
8.5,1886,754
8.53,1862,758
8.57,1839,762
8.6,1816,766
8.63,1792,770
8.67,1768,775
8.7,1744,779
8.73,1720,784
8.77,1696,788
8.8,1671,793
8.83,1646,798
8.87,1621,802
8.9,1596,808
8.93,1570,812
8.97,1544,817
9.0,1518,822
9.03,1491,828
9.07,1465,833
9.1,1438,838
9.13,1411,843
9.17,1384,849
9.2,1356,854
9.23,1328,860
9.27,1300,866
9.3,1272,871
9.33,1243,877
9.37,1214,883
9.4,1184,889
9.43,1155,896
9.47,1125,902
9.5,1095,908
9.53,1065,914
9.57,1034,921
9.6,1003,927
9.63,971,934
9.67,940,940
9.7,908,947
9.73,876,954
9.77,843,962
9.8,810,969
9.83,777,976
9.87,744,983
9.9,709,991
9.93,675,998
9.97,642,1005
10.0,606,1012
