time(s),x,y
8.7,1894,755
8.73,1879,761
8.77,1856,767
8.8,1833,774
8.83,1811,780
8.87,1788,786
8.9,1764,793
8.93,1741,800
8.97,1717,806
9.0,1693,813
9.03,1669,820
9.07,1645,827
9.1,1620,834
9.13,1595,842
9.17,1570,849
9.2,1545,856
9.23,1519,863
9.27,1493,871
9.3,1467,879
9.33,1441,886
9.37,1414,894
9.4,1387,902
9.43,1360,910
9.47,1333,918
9.5,1305,926
9.53,1277,935
9.57,1249,943
9.6,1221,952
9.63,1192,960
9.67,1163,969
9.7,1133,978
9.73,1104,986
9.77,1074,995
9.8,1044,1005
9.83,1013,1014
9.87,983,1024
9.9,951,1033
9.93,920,1043
9.97,888,1052
10.0,856,1063
10.03,824,1073
10.07,791,1083
10.1,759,1093
10.13,725,1104
10.17,692,1114
10.2,658,1125
10.23,623,1135
10.27,589,1146
10.3,554,1157
10.33,518,1167
10.37,482,1179
10.4,446,1191
10.43,409,1202
10.47,372,1214
10.5,336,1225
10.53,305,1237
