time(s),x,y
8.53,1892,753
8.57,1875,757
8.6,1853,762
8.63,1830,766
8.67,1807,771
8.7,1784,776
8.73,1761,781
8.77,1738,786
8.8,1714,791
8.83,1690,796
8.87,1666,801
8.9,1642,806
8.93,1618,811
8.97,1593,817
9.0,1569,822
9.03,1543,828
9.07,1518,833
9.1,1493,839
9.13,1467,845
9.17,1441,851
9.2,1414,856
9.23,1388,862
9.27,1361,868
9.3,1334,874
9.33,1307,880
9.37,1279,887
9.4,1251,893
9.43,1223,900
9.47,1195,907
9.5,1167,913
9.53,1138,920
9.57,1108,927
9.6,1079,934
9.63,1049,941
9.67,1020,948
9.7,990,955
9.73,959,962
9.77,928,970
9.8,897,978
9.83,866,985
9.87,834,993
9.9,802,1001
9.93,770,1009
9.97,737,1017
10.0,705,1025
10.03,671,1033
10.07,638,1041
10.1,604,1050
10.13,571,1058
10.17,535,1066
10.2,502,1075
10.23,464,1078
10.27,430,1093
10.3,394,1102
10.33,358,1111
10.37,322,1121
10.6,304,1132
