time(s),x,y
8.4,1885,745
8.43,1862,748
8.47,1838,751
8.5,1815,755
8.53,1792,758
8.57,1768,762
8.6,1744,765
8.63,1720,770
8.67,1695,773
8.7,1671,777
8.73,1646,781
8.77,1621,785
8.8,1596,789
8.83,1570,793
8.87,1544,797
8.9,1518,801
8.93,1492,805
8.97,1466,810
9.0,1439,814
9.03,1413,819
9.07,1385,823
9.1,1358,827
9.13,1331,832
9.17,1303,837
9.2,1275,841
9.23,1246,846
9.27,1218,851
9.3,1189,856
9.33,1160,861
9.37,1131,866
9.4,1101,872
9.43,1071,877
9.47,1041,882
9.5,1011,888
9.53,980,893
9.57,949,899
9.6,918,904
9.63,887,910
9.67,855,916
9.7,822,922
9.73,790,928
9.77,758,934
9.8,725,940
9.83,692,945
9.87,657,950
9.9,624,958
9.93,590,965
9.97,554,971
10.0,521,977
10.03,485,984
10.07,450,992
10.1,414,999
10.13,378,1006
10.17,341,1014
10.2,308,1022
