time(s),x,y
8.53,1881,751
8.57,1859,755
8.6,1836,760
8.63,1813,765
8.67,1790,769
8.7,1766,774
8.73,1743,779
8.77,1719,784
8.8,1694,789
8.83,1670,794
8.87,1646,799
8.9,1621,805
8.93,1596,810
8.97,1571,815
9.0,1546,821
9.03,1520,826
9.07,1494,832
9.1,1469,837
9.13,1443,843
9.17,1416,849
9.2,1389,855
9.23,1362,861
9.27,1335,867
9.3,1307,873
9.33,1280,879
9.37,1252,885
9.4,1224,892
9.43,1195,898
9.47,1167,905
9.5,1138,911
9.53,1109,918
9.57,1079,925
9.6,1050,932
9.63,1019,939
9.67,989,946
9.7,959,953
9.73,928,960
9.77,897,968
9.8,866,975
9.83,834,983
9.87,802,990
9.9,770,998
9.93,737,1007
9.97,705,1014
10.0,672,1021
10.03,638,1031
10.07,605,1038
10.1,570,1046
10.13,535,1052
10.17,505,1073
10.2,468,1071
10.23,431,1079
10.27,396,1089
10.3,359,1097
10.33,324,1107
10.7,307,1139
