time(s),x,y
8.37,1893,731
8.4,1873,735
8.43,1851,740
8.47,1829,744
8.5,1807,747
8.53,1783,750
8.57,1761,755
8.6,1738,758
8.63,1715,763
8.67,1691,767
8.7,1668,772
8.73,1644,776
8.77,1620,780
8.8,1596,785
8.83,1572,789
8.87,1547,793
8.9,1522,798
8.93,1497,803
8.97,1472,807
9.0,1446,812
9.03,1421,817
9.07,1395,822
9.1,1369,827
9.13,1342,832
9.17,1316,837
9.2,1289,842
9.23,1262,847
9.27,1235,853
9.3,1207,859
9.33,1180,864
9.37,1152,869
9.4,1123,875
9.43,1095,881
9.47,1066,887
9.5,1037,893
9.53,1008,899
9.57,979,905
9.6,949,911
9.63,919,918
9.67,889,924
9.7,857,931
9.73,827,937
9.77,797,944
9.8,764,951
9.83,733,957
9.87,701,964
9.9,669,972
9.97,603,985
10.0,570,992
10.03,536,1000
10.07,503,1008
10.1,469,1015
10.13,434,1023
10.17,399,1031
10.2,365,1038
10.23,329,1047
