time(s),x,y
8.5,1893,752
8.53,1875,756
8.57,1851,760
8.6,1828,765
8.63,1805,769
8.67,1781,774
8.7,1757,778
8.73,1732,783
8.77,1708,787
8.8,1683,792
8.83,1658,797
8.87,1633,802
8.9,1607,806
8.93,1582,812
8.97,1556,817
9.0,1530,822
9.03,1504,827
9.07,1477,832
9.1,1450,837
9.13,1423,843
9.17,1397,848
9.2,1369,854
9.23,1341,859
9.27,1313,864
9.3,1284,870
9.33,1256,876
9.37,1227,882
9.4,1198,888
9.43,1169,894
9.47,1140,900
9.5,1110,906
9.53,1080,912
9.57,1050,919
9.6,1019,925
9.63,988,932
9.67,957,939
9.7,926,945
9.73,894,952
9.77,862,959
9.8,830,966
9.83,797,973
9.87,764,981
9.9,731,988
9.93,698,995
9.97,664,1002
10.0,630,1009
10.03,596,1016
