time(s),x,y
8.53,1887,748
8.57,1865,753
8.6,1842,758
8.63,1819,763
8.67,1795,768
8.7,1772,773
8.73,1747,778
8.77,1724,783
8.8,1699,788
8.83,1675,793
8.87,1651,798
8.9,1626,803
8.93,1600,809
8.97,1576,814
9.0,1550,820
9.03,1525,826
9.07,1498,831
9.1,1472,837
9.13,1446,843
9.17,1420,849
9.2,1392,855
9.23,1366,861
9.27,1338,867
9.3,1310,873
9.33,1282,879
9.37,1255,886
9.4,1226,892
9.43,1198,899
9.47,1169,905
9.5,1140,912
9.53,1111,919
9.57,1082,926
9.6,1052,932
9.63,1022,939
9.67,991,947
9.7,961,954
9.73,930,961
9.77,899,968
9.8,867,976
9.83,836,984
9.87,804,992
9.9,771,999
9.93,739,1007
9.97,706,1015
10.0,673,1023
10.03,640,1031
10.07,606,1039
10.1,572,1046
10.13,538,1055
10.17,506,1073
10.2,468,1071
10.23,433,1080
10.27,397,1090
10.3,361,1098
10.33,325,1108
