time(s),x,y
8.6,1891,760
8.63,1871,765
8.67,1848,771
8.7,1824,776
8.73,1801,781
8.77,1777,786
8.8,1753,792
8.83,1729,797
8.87,1705,803
8.9,1680,809
8.93,1655,814
8.97,1630,820
9.0,1604,826
9.03,1579,832
9.07,1553,838
9.1,1527,844
9.13,1500,850
9.17,1474,856
9.2,1447,863
9.23,1420,869
9.27,1392,876
9.3,1365,882
9.33,1336,889
9.37,1308,895
9.4,1280,902
9.43,1251,910
9.47,1222,917
9.5,1192,924
9.53,1163,931
9.57,1133,938
9.6,1103,946
9.63,1073,953
9.67,1042,961
9.7,1011,969
9.73,980,976
9.77,948,984
9.8,916,992
9.83,883,1000
9.87,851,1009
9.9,818,1017
9.93,785,1025
9.97,751,1034
10.0,717,1043
10.03,683,1052
10.07,649,1060
10.1,614,1069
10.13,578,1079
10.17,543,1088
10.2,507,1095
10.23,471,1105
