time(s),x,y
8.53,1896,755
8.57,1879,759
8.6,1856,764
8.63,1832,769
8.67,1810,774
8.7,1786,778
8.73,1762,784
8.77,1739,789
8.8,1715,793
8.83,1690,798
8.87,1666,804
8.9,1640,809
8.93,1616,815
8.97,1591,820
9.0,1566,825
9.03,1540,831
9.07,1514,836
9.1,1488,842
9.13,1462,848
9.17,1435,854
9.2,1409,860
9.23,1381,866
9.27,1354,872
9.3,1327,879
9.33,1299,884
9.37,1271,891
9.4,1243,898
9.43,1214,904
9.47,1186,911
9.5,1156,918
9.53,1128,925
9.57,1098,932
9.6,1068,939
9.63,1038,947
9.67,1008,954
9.7,976,961
9.73,946,968
9.77,914,976
9.8,882,984
9.83,851,991
9.87,819,1000
9.9,786,1008
9.93,754,1016
9.97,720,1024
10.0,687,1033
10.03,653,1041
10.07,620,1050
10.1,585,1058
10.13,551,1066
10.17,515,1075
10.23,444,1092
10.27,408,1104
10.3,372,1112
10.33,334,1122
10.37,302,1132
11.13,300,1025
