time(s),x,y
8.43,1888,739
8.47,1865,744
8.5,1843,747
8.53,1820,752
8.57,1797,756
8.6,1774,761
8.63,1751,765
8.67,1728,769
8.7,1704,774
8.73,1680,778
8.77,1656,783
8.8,1632,788
8.83,1607,793
8.87,1583,797
8.9,1558,802
8.93,1533,807
8.97,1508,812
9.0,1482,818
9.03,1456,823
9.07,1430,828
9.1,1404,833
9.13,1378,839
9.17,1351,844
9.2,1325,849
9.23,1297,855
9.27,1270,861
9.3,1243,867
9.33,1215,872
9.37,1187,879
9.4,1159,885
9.43,1130,890
9.47,1102,897
9.5,1072,903
9.53,1043,909
9.57,1014,916
9.6,984,922
9.63,954,929
9.67,924,935
9.7,893,942
9.73,862,949
9.77,832,956
9.8,800,963
9.83,769,970
9.87,737,977
9.9,704,985
9.93,672,992
9.97,639,998
10.0,607,1006
10.03,570,1007
10.07,538,1021
10.1,505,1028
10.13,470,1036
10.17,436,1045
10.2,401,1053
10.23,366,1062
10.27,330,1070
10.3,303,1078
