time(s),x,y
8.47,1889,745
8.5,1868,748
8.53,1846,753
8.57,1823,757
8.6,1801,761
8.63,1777,766
8.67,1755,771
8.7,1732,775
8.73,1708,780
8.77,1685,784
8.8,1661,790
8.83,1637,794
8.87,1613,799
8.9,1589,804
8.93,1565,809
8.97,1539,815
9.0,1515,820
9.03,1489,825
9.07,1464,830
9.1,1439,836
9.13,1413,841
9.17,1386,847
9.2,1360,853
9.23,1334,859
9.27,1307,864
9.3,1280,871
9.33,1252,876
9.37,1225,882
9.4,1197,888
9.43,1169,895
9.47,1141,901
9.5,1113,907
9.53,1084,913
9.57,1055,920
9.6,1025,927
9.63,996,934
9.67,966,941
9.7,936,947
9.73,906,955
9.77,875,961
9.8,844,969
9.83,813,976
9.87,782,984
9.9,750,991
9.93,718,1000
9.97,686,1007
10.0,654,1015
10.03,620,1022
10.07,587,1029
10.1,554,1038
10.13,517,1043
10.17,485,1054
10.2,452,1062
10.23,416,1072
10.27,381,1081
10.3,346,1089
10.33,309,1098
10.8,307,874
10.83,334,818
10.87,334,818
10.9,366,762
10.93,366,762
10.97,382,733
11.0,413,678
11.03,413,678
11.07,429,656
