time(s),x,y
8.6,1890,754
8.63,1869,759
8.67,1846,764
8.7,1822,769
8.73,1798,774
8.77,1774,780
8.8,1750,785
8.83,1725,790
8.87,1701,796
8.9,1676,801
8.93,1651,807
8.97,1626,813
9.0,1600,819
9.03,1574,825
9.07,1548,831
9.1,1522,837
9.13,1496,843
9.17,1469,849
9.2,1442,855
9.23,1414,861
9.27,1387,868
9.3,1359,874
9.33,1331,881
9.37,1303,887
9.4,1275,894
9.43,1246,901
9.47,1217,907
9.5,1187,914
9.53,1158,921
9.57,1129,929
9.6,1098,935
9.63,1068,943
9.67,1038,950
9.7,1007,957
9.73,975,965
9.77,944,973
9.8,912,980
9.83,880,988
9.87,848,996
9.9,816,1004
9.93,782,1012
9.97,749,1020
10.0,716,1029
10.03,682,1037
10.07,648,1045
10.1,613,1054
10.13,579,1062
10.17,543,1070
10.2,508,1078
