time(s),x,y
8.5,1889,753
8.53,1868,757
8.57,1844,761
8.6,1820,766
8.63,1796,769
8.67,1771,774
8.7,1746,779
8.73,1721,783
8.77,1696,788
8.8,1671,792
8.83,1645,797
8.87,1619,802
8.9,1594,807
8.93,1567,812
8.97,1541,817
9.0,1514,822
9.03,1487,827
9.07,1460,833
9.1,1433,838
9.13,1405,843
9.17,1377,848
9.2,1349,854
9.23,1320,859
9.27,1292,865
9.3,1262,871
9.33,1233,877
9.37,1204,883
9.4,1174,888
9.43,1144,895
9.47,1113,900
9.5,1083,907
9.53,1053,913
9.57,1022,919
9.6,990,926
9.63,959,933
9.67,927,939
9.7,895,945
9.73,862,952
9.77,829,959
9.8,796,967
9.83,763,973
9.87,729,981
9.9,695,987
9.93,661,995
9.97,626,1001
10.0,596,1006
10.03,556,1016
10.07,520,1023
10.1,485,1031
10.13,448,1039
10.17,412,1047
10.2,375,1055
10.23,337,1064
10.27,306,1072
