time(s),x,y
8.5,1885,747
8.53,1861,752
8.57,1838,756
8.6,1815,760
8.63,1792,765
8.67,1768,769
8.7,1745,774
8.73,1721,779
8.77,1696,783
8.8,1673,788
8.83,1648,793
8.87,1623,798
8.9,1598,803
8.93,1573,809
8.97,1548,813
9.0,1522,819
9.03,1496,824
9.07,1470,830
9.1,1444,835
9.13,1417,840
9.17,1390,846
9.2,1363,852
9.23,1336,857
9.27,1309,863
9.3,1281,869
9.33,1253,875
9.37,1225,881
9.4,1196,887
9.43,1167,893
9.47,1138,899
9.5,1109,906
9.53,1080,912
9.57,1050,919
9.6,1020,925
9.63,989,932
9.67,959,939
9.7,927,946
9.73,896,953
9.77,865,959
9.8,833,967
9.83,801,974
9.87,769,982
9.9,736,989
9.93,703,997
9.97,670,1004
10.0,637,1012
10.03,602,1019
10.07,570,1027
10.1,533,1033
10.13,499,1042
10.17,464,1050
10.2,427,1059
10.23,392,1067
10.27,355,1076
10.3,319,1085
10.6,305,1088
10.63,318,1079
10.83,302,1061
10.87,302,1061
