time(s),x,y
8.47,1886,749
8.5,1863,753
8.53,1839,758
8.57,1816,762
8.6,1792,767
8.63,1769,771
8.67,1744,776
8.7,1721,780
8.73,1696,785
8.77,1672,790
8.8,1647,795
8.83,1622,799
8.87,1597,804
8.9,1572,809
8.93,1546,814
8.97,1520,820
9.0,1494,824
9.03,1468,830
9.07,1441,835
9.1,1414,840
9.13,1387,846
9.17,1359,851
9.2,1332,857
9.23,1304,862
9.27,1276,868
9.3,1248,874
9.33,1220,880
9.37,1191,886
9.4,1162,892
9.43,1133,898
9.47,1103,904
9.5,1073,910
9.53,1044,916
9.57,1013,923
9.6,983,929
9.63,952,936
9.67,921,942
9.7,889,949
9.73,857,956
9.77,825,963
9.8,793,970
9.83,761,977
9.87,728,984
9.9,694,991
9.93,662,999
9.97,628,1005
10.0,595,1013
10.03,556,1016
10.07,524,1026
10.1,491,1035
10.13,455,1043
10.17,418,1051
10.2,383,1059
10.23,347,1067
10.27,310,1076
