time(s),x,y
8.6,1894,760
8.63,1880,765
8.67,1857,769
8.7,1834,774
8.73,1810,779
8.77,1787,784
8.8,1763,789
8.83,1739,794
8.87,1715,800
8.9,1691,805
8.93,1667,810
8.97,1642,816
9.0,1617,821
9.03,1592,827
9.07,1566,833
9.1,1541,839
9.13,1515,845
9.17,1488,850
9.2,1462,856
9.23,1435,862
9.27,1408,869
9.3,1381,875
9.33,1353,881
9.37,1326,888
9.4,1298,894
9.43,1270,901
9.47,1241,907
9.5,1213,914
9.53,1183,921
9.57,1154,928
9.6,1125,935
9.63,1095,943
9.67,1065,950
9.7,1034,957
9.73,1004,965
9.77,973,972
9.8,941,980
9.83,910,988
9.87,878,996
9.9,846,1004
9.93,814,1012
9.97,781,1020
10.0,748,1028
10.03,715,1037
10.07,681,1045
10.1,647,1053
10.13,613,1063
10.17,578,1072
10.2,544,1079
10.23,508,1089
10.27,473,1096
