time(s),x,y
8.47,1894,750
8.5,1871,753
8.53,1847,756
8.57,1823,760
8.6,1798,764
8.63,1774,767
8.67,1749,771
8.7,1724,775
8.73,1700,779
8.77,1674,783
8.8,1648,787
8.83,1623,790
8.87,1597,795
8.9,1570,799
8.93,1544,803
8.97,1517,807
9.0,1491,811
9.03,1463,815
9.07,1436,820
9.1,1408,824
9.13,1381,829
9.17,1352,833
9.2,1324,838
9.23,1295,843
9.27,1266,847
9.3,1237,853
9.33,1208,858
9.37,1178,862
9.4,1149,868
9.43,1118,872
9.47,1088,878
9.5,1057,883
9.53,1027,889
9.57,996,894
9.6,964,900
9.63,932,905
9.67,901,910
9.7,868,917
9.73,835,923
9.77,802,929
9.8,769,934
9.83,736,940
9.87,702,946
9.93,634,957
9.97,599,964
10.0,564,971
10.03,528,978
10.07,493,984
10.1,457,991
10.13,421,998
10.17,384,1006
10.2,347,1012
10.23,309,1021
