time(s),x,y
8.63,1894,750
8.67,1878,756
8.7,1856,761
8.73,1832,767
8.77,1809,773
8.8,1785,779
8.83,1761,785
8.87,1737,791
8.9,1713,797
8.93,1688,803
8.97,1664,809
9.0,1639,816
9.03,1613,822
9.07,1588,828
9.1,1562,835
9.13,1536,842
9.17,1510,849
9.2,1484,855
9.23,1457,863
9.27,1430,869
9.3,1403,877
9.33,1376,884
9.37,1348,891
9.4,1320,898
9.43,1292,906
9.47,1263,913
9.5,1235,921
9.53,1205,928
9.57,1176,937
9.6,1147,944
9.63,1117,952
9.67,1087,960
9.7,1056,969
9.73,1026,977
9.77,995,985
9.8,964,994
9.83,932,1002
9.87,900,1011
9.9,868,1020
9.93,836,1029
9.97,802,1038
10.0,770,1047
10.03,736,1057
10.07,702,1066
10.1,668,1075
10.13,634,1085
10.17,599,1094
10.2,564,1105
10.23,528,1115
10.27,493,1125
10.3,457,1133
10.33,420,1144
10.37,385,1154
10.4,344,1162
10.43,309,1175
10.6,305,1148
10.63,342,1122
10.67,384,1097
10.7,425,1072
