time(s),x,y
8.43,1892,739
8.47,1870,744
8.5,1847,748
8.53,1824,752
8.57,1800,756
8.6,1777,760
8.63,1753,765
8.67,1730,769
8.7,1705,773
8.73,1681,778
8.77,1656,783
8.8,1632,787
8.83,1607,792
8.87,1581,796
8.9,1555,801
8.93,1530,806
8.97,1504,811
9.0,1478,816
9.03,1452,821
9.07,1426,825
9.1,1399,831
9.13,1372,836
9.17,1344,841
9.2,1317,847
9.23,1289,852
9.27,1261,858
9.3,1233,863
9.33,1205,869
9.37,1176,875
9.4,1147,880
9.43,1118,886
9.47,1089,892
9.5,1059,898
9.53,1029,905
9.57,999,910
9.6,968,917
9.63,938,923
9.67,907,930
9.7,876,936
9.73,844,943
9.77,812,949
9.8,780,956
9.83,748,964
9.87,715,970
9.9,683,977
9.93,649,983
10.0,581,997
10.03,548,1004
10.07,512,1013
10.1,478,1020
10.13,443,1028
10.17,407,1036
10.2,372,1043
10.23,336,1053
10.27,303,1060
